식당 이름,식당 주소
고베그릴,서울 관악구 남부순환로 2082-25 5층
남희회포장마차,서울 동작구 동작대로27가길 15 1층
롯데리아 이수역점,서울 동작구 동작대로 129
쩡곱도리탕,서울 동작구 사당로30길 140
고추찜닭 본점,서울 동작구 동작대로27가길 14
하늘을걷는고양이카페,서울 동작구 동작대로27길 15 서범빌딩 4층
뚜레쥬르 사당시티점,서울 동작구 동작대로 79-1 시티빌딩 1층
바다회세꼬시,서울 동작구 동작대로1길 10-16
동래모듬전,서울 동작구 동작대로7길 20 동래파전
베이크샵 피봇,서울 서초구 방배로23길 5 1층
유정오리닭한방백숙,서울 서초구 방배중앙로 87 1층
피쉬퓨전회포차 사당점,서울 동작구 동작대로7길 7
미분당 이수점,서울 서초구 서초대로 13 마에스트로 1동 107호
일미가참치,서울 동작구 동작대로25길 16 3층
크래프트한스 사당점,서울 서초구 방배천로 12-4 1층
등촌샤브칼국수 이수점,서울 동작구 사당로 286 2층
이태리상회,서울 동작구 사당로 245 1층
메가MGC커피 이수태평점,서울 동작구 동작대로27길 20 1층
태평아구찜,서울 동작구 사당로 307-14 1층
남오토코 방배점,서울 서초구 방배천로 22
힘찬정육식당 사당역직영점,서울 관악구 남현1길 58
청송산오징어,서울 관악구 남현1길 8
아는포차,서울 동작구 동작대로7길 11
유미카츠 이수방배점,서울 동작구 동작대로27길 18 2층
떡붕 이수점,서울 동작구 동작대로29길 57
투썸플레이스 방배이수점,"서울 서초구 서초대로1길 11 1, 2층"
겁없는토끼부엌,서울 서초구 청두곶길 6-1 1층
꿈꾸는크루아상,서울 서초구 서초대로1길 19-6 1층
사당아바이순대국해장국,서울 동작구 사당로 260
올웨이즈온,서울 서초구 방배천로2안길 45 1층
이수면옥,서울 동작구 동작대로 123
백호양대창 이수점,서울 동작구 동작대로25길 30 1층
양계장집아들 방배본점,서울 서초구 방배천로16길 1
생고기제작소 이수점,서울 동작구 동작대로27다길 6 1층
무안수산,서울 동작구 동작대로7길 62-1
포차노리,"서울 동작구 동작대로27다길 18 1, 2층"
미고삼,서울 동작구 동작대로27다길 8 1층
얌리마카롱,서울 서초구 도구로 114
이수가,서울 동작구 동작대로27나길 6 2층
대신수산,서울 동작구 동작대로7길 43 1층
홍콩반점0410 이수역점,서울 동작구 동작대로27가길 38 1층
미테이,서울 서초구 방배중앙로 140
어부의딸,서울 동작구 동작대로25길 9-6
도버빌리지,서울 서초구 도구로9길 32 1층
황제소고기국밥,서울 동작구 동작대로29길 11
세시파스타,서울 서초구 효령로 23
더풍년 이수점,서울 동작구 동작대로25길 50 1층
해남원조김밥,서울 서초구 방배중앙로25길 15
키세츠스시,서울 서초구 방배천로4안길 18 1층
속초오징어어시장 사당점,"서울 관악구 남현1길 47 1,2층"
꽃다운주점 이수점,서울 동작구 동작대로27다길 26 이수프라자 1층 105호
홍콩참치만두,서울 동작구 동작대로33길 16
스타벅스 방배카페거리점,서울 서초구 방배중앙로 162
분코,서울 서초구 방배천로4안길 26
오리촌,서울 동작구 동작대로31길 13 1층
조가네족발왕,서울 동작구 동작대로23길 21 대원빌딩 1층
신전떡볶이 방배점,서울 서초구 서초대로1길 19-5 1층
까르니브라질그릴,서울 서초구 방배로 83-9 동화빌딩 5층
전원일기,서울 동작구 동작대로25길 32 1층
홍천숯불닭갈비,서울 동작구 동작대로27가길 41 1층
충청삼겹 이수점,서울 동작구 동작대로27다길 15 1층
꿈꾸는다락방,서울 서초구 청두곶길 12 두원아파트상가 1층
토모야,서울 서초구 방배천로 17 2층
물음표,서울 동작구 동작대로25길 22
우리집한우정육식당,서울 동작구 동작대로29가길 9
슬로우캘리 사당이수점,서울 동작구 사당로 300 이수자이 1층 112호
논고을 사당점,서울 동작구 남부순환로269길 12
이수정육식당,서울 동작구 동작대로27다길 5
엘리씨 커피,서울 서초구 동광로12가길 3
이수짜장,서울 동작구 동작대로29가길 7
공평동 꼼장어 이수점,서울 동작구 동작대로27가길 6-3
송이족발 본점,서울 동작구 사당로17길 11
에이바우트커피 이수점,서울 동작구 동작대로27가길 12
천사곱창이수점,서울 동작구 동작대로27다길 29
꿈꾸는포장마차,서울 동작구 동작대로7길 35 1층
